Genre.1,Emotions.1,posts,total_reach,median_reach,mean_reach,lift_vs_filtered_median_pct,language
Entertainment,Controversy,25,882760.0,15439.0,35310.4,137.70592763664357,en
Crime,Shock -VE,23,2072515.0,8583.0,90109.34782608696,32.14780600461893,en
Off-beat,Heartwarming,8,889227.0,8248.5,111153.375,26.99769053117782,en
Current-Affairs,Anger,8,425487.0,7769.5,53185.875,19.62278675904543,en
Current-Affairs,Fear/Concern,18,376024.0,7642.0,20890.222222222223,17.659738260200154,en
Sports,Controversy,10,119976.0,7066.0,11997.6,8.791377983063885,en
Entertainment,Curiosity,10,102847.0,6911.0,10284.7,6.404926866820637,en
Current-Affairs,Shock -VE,19,568860.0,6424.0,29940.0,-1.0931485758275628,en
Current-Affairs,Breaking News,11,79409.0,4694.0,7219.0,-27.729022324865284,en
Off-beat,Shock -VE,12,398557.0,4165.5,33213.083333333336,-35.866050808314085,en
Sports,Curiosity,11,74881.0,3543.0,6807.363636363636,-45.45034642032333,en
Current-Affairs,Curiosity,11,95980.0,3340.0,8725.454545454546,-48.57582755966128,en
Entertainment,Surprise +VE,9,46306.0,3164.0,5145.111111111111,-51.28560431100847,en
Entertainment,Surprise +VE,7,3050.0,187.0,435.7142857142857,56.48535564853556,ml
International Politics,Shock -VE,7,4814.0,157.0,687.7142857142857,31.380753138075313,ml
International Politics,Fear/Concern,7,2040.0,125.0,291.42857142857144,4.602510460251041,ml
Current-Affairs,Happiness,5,864.0,122.0,172.8,2.092050209205021,ml
Current-Affairs,Surprise +VE,17,14061.0,113.0,827.1176470588235,-5.4393305439330515,ml
Current-Affairs,Shock -VE,19,8447.0,103.0,444.57894736842104,-13.807531380753135,ml
Crime,Shock -VE,12,15444.0,96.0,1287.0,-19.665271966527197,ml
Politics,Surprise +VE,7,851.0,85.0,121.57142857142857,-28.870292887029294,ml
Current-Affairs,Curiosity,5,396.0,85.0,79.2,-28.870292887029294,ml
Business,Shock -VE,7,691.0,77.0,98.71428571428571,-35.56485355648535,ml
Politics,Curiosity,5,620.0,67.0,124.0,-43.93305439330544,ml
Politics,Controversy,7,34.0,5.0,4.857142857142857,25.0,ta
Politics,Surprise +VE,11,44.0,4.0,4.0,0.0,ta
Politics,Shock -VE,7,24.0,4.0,3.4285714285714284,0.0,ta
Current-Affairs,Shock -VE,6,22.0,4.0,3.6666666666666665,0.0,ta
Entertainment,Sadness,5,417575.0,15826.0,83515.0,471.7485549132948,te
Entertainment,Curiosity,5,96707.0,14338.0,19341.4,417.99132947976875,te
Entertainment,Controversy,8,368351.0,5149.5,46043.875,86.03684971098266,te
Current-Affairs,Shock -VE,7,58924.0,2167.0,8417.714285714286,-21.71242774566474,te
Crime,Sadness,6,34993.0,1385.5,5832.166666666667,-49.945809248554916,te
Crime,Shock -VE,6,44971.0,227.0,7495.166666666667,-91.79913294797689,te
Entertainment,Controversy,4,5110.0,800.0,1277.5,16.533139111434814,hi
Crime,Shock -VE,10,67695.0,754.0,6769.5,9.832483612527309,hi
Off-beat,Surprise +VE,5,7470.0,751.0,1494.0,9.39548434085944,hi
Entertainment,Curiosity,5,1976.0,249.0,395.2,-63.72906045156592,hi
