Genre.1,posts,median_reach,mean_reach,p75_reach,max_reach,lift_vs_label_median_pct
Entertainment,155,1556.0,6499.051612903226,2935.0,543465.0,89.98778998778998
Int others,8,1526.5,11582.75,5038.0,71233.0,86.38583638583638
Patriotic,2,1313.5,1313.5,1962.75,2612.0,60.378510378510384
Sports,86,1104.0,1570.953488372093,1696.25,14149.0,34.79853479853481
Cultural,7,932.0,8776.857142857143,1557.0,56830.0,13.797313797313793
Off-beat,95,869.0,2063.4736842105262,2482.5,49064.0,6.1050061050061055
Current-Affairs,161,750.0,1284.4782608695652,1860.0,25664.0,-8.424908424908429
Job,6,287.5,416.8333333333333,625.25,1234.0,-64.8962148962149
Politics,74,52.0,464.05405405405406,827.5,5284.0,-93.65079365079364
International Politics,28,45.5,451.7142857142857,1061.0,1897.0,-94.44444444444444
Crime,54,44.5,967.3333333333334,1328.0,6052.0,-94.56654456654456
Lifestyle,22,40.5,559.0,1095.75,2867.0,-95.05494505494505
Business,31,35.0,1540.258064516129,375.0,35046.0,-95.72649572649573
